Detachment,Games,Win %
Genestealer Cults - Brood Brother Auxilia,147,37.41%
Genestealer Cults - Final Day,490,55.71%
Genestealer Cults - Host of Ascension,1625,52.25%
Genestealer Cults - Outlander Claw,354,52.82%
Genestealer Cults - Xenocreed Congregation,195,53.85%
Grey Knights - Augurium Task Force,94,36.17%
Grey Knights - Banishers,1424,45.15%
Grey Knights - Brotherhood Strike,288,39.58%
Grey Knights - Hallowed Conclave,153,37.91%
Grey Knights - Sanctic Spearhead,290,42.07%
Grey Knights - Teleport Strike Force,1188,44.61%
Grey Knights - Warpbane Task Force,3557,52.18%
Imperial Agents - Alien Hunters,24,50.00%
Imperial Agents - Daemon Hunters,14,57.14%
Imperial Agents - Imperialis Fleet,493,41.78%
Imperial Agents - Purgation Force,20,45.00%
Imperial Agents - Veiled Blade Elimination Force,61,39.34%
Imperial Knights - Gate Warden Lance,185,43.78%
Imperial Knights - Noble Lance,8864,57.89%
Imperial Knights - Questor Forgepact,309,51.78%
Imperial Knights - Questoris Companions,740,50.68%
Imperial Knights - Spearhead-At-Arms,481,41.37%
Imperial Knights - Valourstrike Lance,584,44.52%
Leagues Of Votann - Brandfast Oathband,1150,47.83%
Leagues Of Votann - Delve Assault Shift,236,50.85%
Leagues Of Votann - Hearthband,896,48.44%
Leagues Of Votann - Hearthfire Arsenal,79,35.44%
Leagues Of Votann - Needgaard Oathband,2034,50.29%
Leagues Of Votann - Needga̢rd Oathband,9,33.33%
Leagues Of Votann - Oathband,3167,49.29%
Leagues Of Votann - Persecution Prospect,90,44.44%
Necrons - Annihilation Legion,383,40.21%
Necrons - Awakened Dynasty,6787,47.72%
Necrons - Canoptek Court,1237,45.03%
Necrons - Hypercrypt Legion,1513,44.28%
Necrons - Obeisance Phalanx,342,47.37%
Necrons - Starshatter Arsenal,4615,52.44%
Orks - Bully Boyz,654,42.81%
Orks - Da Big Hunt,423,41.61%
Orks - Dread Mob,1127,39.66%
Orks - Green Tide,501,47.90%
Orks - Kult of Speed,470,46.60%
Orks - More Dakka!,310,40.00%
Orks - Taktikal Brigade,899,43.49%
Orks - Waaagh! Tribe,54,50.00%
Orks - War Horde,4797,47.86%
Space Marines - 1st Company Task Force,372,43.28%
Space Marines - Anvil Siege Force,906,40.84%
Space Marines - Firestorm Assault Force,2291,44.30%
Space Marines - Forgefather's Seekers,1578,48.35%
Space Marines - Gladius Task Force,8207,44.12%
Space Marines - Ironstorm Spearhead,1852,44.71%
Space Marines - Librarius Conclave,351,47.29%
Space Marines - Stormlance Task Force,847,51.59%
Space Marines - Vanguard Spearhead,2556,43.35%
Space Wolves - 1st Company Task Force,15,60.00%
Space Wolves - Anvil Siege Force,12,66.67%
Space Wolves - Champion Of Russ,442,45.48%
