Mission,Deployment,Games,Win %,VP,Faction
Scorched Earth,Crucible Of Battle,477,51.99%,76.21,Adeptus Custodes
Scorched Earth,Dawn Of War,41,60.98%,69.72,Adeptus Custodes
Scorched Earth,Hammer And Anvil,38,55.26%,66.81,Adeptus Custodes
Scorched Earth,Search And Destroy,436,50.92%,78.36,Adeptus Custodes
Scorched Earth,Sweeping Engagement,22,54.55%,69.58,Adeptus Custodes
Scorched Earth,Tipping Point,546,52.56%,78.65,Adeptus Custodes
Supply Drop,Crucible Of Battle,34,55.88%,63.74,Adeptus Custodes
Supply Drop,Dawn Of War,11,45.45%,76.40,Adeptus Custodes
Supply Drop,Hammer And Anvil,358,54.19%,67.92,Adeptus Custodes
Supply Drop,Search And Destroy,36,58.33%,68.10,Adeptus Custodes
Supply Drop,Sweeping Engagement,188,55.85%,64.15,Adeptus Custodes
Supply Drop,Tipping Point,393,49.11%,68.96,Adeptus Custodes
Take And Hold,Crucible Of Battle,78,42.31%,75.15,Adeptus Custodes
Take And Hold,Dawn Of War,128,44.53%,67.75,Adeptus Custodes
Take And Hold,Hammer And Anvil,573,55.32%,74.74,Adeptus Custodes
Take And Hold,Search And Destroy,774,53.88%,80.42,Adeptus Custodes
Take And Hold,Sweeping Engagement,51,56.86%,74.90,Adeptus Custodes
Take And Hold,Tipping Point,999,54.45%,78.49,Adeptus Custodes
Terraform,Crucible Of Battle,717,52.30%,77.46,Adeptus Custodes
Terraform,Dawn Of War,45,55.56%,75.52,Adeptus Custodes
Terraform,Hammer And Anvil,42,59.52%,72.36,Adeptus Custodes
Terraform,Search And Destroy,53,47.17%,72.92,Adeptus Custodes
Terraform,Sweeping Engagement,519,50.10%,79.37,Adeptus Custodes
Terraform,Tipping Point,48,52.08%,65.04,Adeptus Custodes
The Ritual,Crucible Of Battle,15,60.00%,82.33,Adeptus Custodes
The Ritual,Dawn Of War,11,54.55%,73.50,Adeptus Custodes
Burden Of Trust,Crucible Of Battle,7,57.14%,52.25,Adeptus Mechanicus
Burden Of Trust,Dawn Of War,15,40.00%,62.17,Adeptus Mechanicus
Burden Of Trust,Hammer And Anvil,11,27.27%,57.33,Adeptus Mechanicus
Burden Of Trust,Search And Destroy,8,50.00%,57.75,Adeptus Mechanicus
Burden Of Trust,Sweeping Engagement,3,100.00%,50.67,Adeptus Mechanicus
Burden Of Trust,Tipping Point,9,44.44%,50.00,Adeptus Mechanicus
Hidden Supplies,Crucible Of Battle,124,54.03%,75.60,Adeptus Mechanicus
Hidden Supplies,Dawn Of War,9,55.56%,75.80,Adeptus Mechanicus
Hidden Supplies,Hammer And Anvil,112,49.11%,68.51,Adeptus Mechanicus
Hidden Supplies,Search And Destroy,228,57.89%,75.54,Adeptus Mechanicus
Hidden Supplies,Sweeping Engagement,7,14.29%,32.00,Adeptus Mechanicus
Hidden Supplies,Tipping Point,14,64.29%,61.44,Adeptus Mechanicus
Linchpin,Crucible Of Battle,79,51.90%,74.29,Adeptus Mechanicus
Linchpin,Dawn Of War,116,47.41%,67.38,Adeptus Mechanicus
Linchpin,Hammer And Anvil,23,39.13%,69.44,Adeptus Mechanicus
Linchpin,Search And Destroy,219,46.58%,75.77,Adeptus Mechanicus
Linchpin,Sweeping Engagement,16,31.25%,73.60,Adeptus Mechanicus
Linchpin,Tipping Point,276,50.36%,70.77,Adeptus Mechanicus
Purge The Foe,Crucible Of Battle,300,51.00%,82.24,Adeptus Mechanicus
Purge The Foe,Dawn Of War,81,40.74%,73.00,Adeptus Mechanicus
Purge The Foe,Hammer And Anvil,176,50.00%,80.82,Adeptus Mechanicus
Purge The Foe,Search And Destroy,17,41.18%,75.43,Adeptus Mechanicus
Purge The Foe,Sweeping Engagement,13,61.54%,82.50,Adeptus Mechanicus
Purge The Foe,Tipping Point,20,40.00%,76.38,Adeptus Mechanicus
Scorched Earth,Crucible Of Battle,181,55.25%,77.73,Adeptus Mechanicus
Scorched Earth,Dawn Of War,10,50.00%,68.00,Adeptus Mechanicus
Scorched Earth,Hammer And Anvil,16,43.75%,71.86,Adeptus Mechanicus
Scorched Earth,Search And Destroy,125,48.80%,73.52,Adeptus Mechanicus
Scorched Earth,Sweeping Engagement,10,30.00%,65.67,Adeptus Mechanicus
Scorched Earth,Tipping Point,199,39.70%,76.13,Adeptus Mechanicus
Supply Drop,Crucible Of Battle,14,57.14%,59.25,Adeptus Mechanicus
Supply Drop,Dawn Of War,10,50.00%,58.00,Adeptus Mechanicus
Supply Drop,Hammer And Anvil,114,50.88%,63.36,Adeptus Mechanicus
Supply Drop,Search And Destroy,7,71.43%,59.60,Adeptus Mechanicus
Supply Drop,Sweeping Engagement,54,53.70%,65.38,Adeptus Mechanicus
Supply Drop,Tipping Point,127,50.39%,63.13,Adeptus Mechanicus
Take And Hold,Crucible Of Battle,36,47.22%,76.59,Adeptus Mechanicus
Take And Hold,Dawn Of War,39,43.59%,76.59,Adeptus Mechanicus
Take And Hold,Hammer And Anvil,206,42.23%,78.29,Adeptus Mechanicus
Take And Hold,Search And Destroy,320,49.06%,79.69,Adeptus Mechanicus
Take And Hold,Sweeping Engagement,20,50.00%,86.30,Adeptus Mechanicus
Take And Hold,Tipping Point,335,47.16%,76.85,Adeptus Mechanicus
Terraform,Crucible Of Battle,265,51.32%,79.65,Adeptus Mechanicus
Terraform,Dawn Of War,29,41.38%,71.83,Adeptus Mechanicus
Terraform,Hammer And Anvil,21,57.14%,73.08,Adeptus Mechanicus
Terraform,Search And Destroy,22,36.36%,79.63,Adeptus Mechanicus
Terraform,Sweeping Engagement,165,60.00%,78.13,Adeptus Mechanicus
Terraform,Tipping Point,17,58.82%,72.00,Adeptus Mechanicus
The Ritual,Crucible Of Battle,3,66.67%,88.00,Adeptus Mechanicus
The Ritual,Dawn Of War,7,42.86%,74.00,Adeptus Mechanicus
Burden Of Trust,Crucible Of Battle,31,29.03%,68.56,Aeldari
Burden Of Trust,Dawn Of War,30,46.67%,56.93,Aeldari
Burden Of Trust,Hammer And Anvil,23,65.22%,63.33,Aeldari
Burden Of Trust,Search And Destroy,33,45.45%,66.40,Aeldari
Burden Of Trust,Sweeping Engagement,13,30.77%,68.00,Aeldari
Burden Of Trust,Tipping Point,22,68.18%,67.20,Aeldari
Hidden Supplies,Crucible Of Battle,312,48.40%,74.56,Aeldari
Hidden Supplies,Dawn Of War,25,56.00%,74.79,Aeldari
Hidden Supplies,Hammer And Anvil,276,50.00%,70.95,Aeldari
Hidden Supplies,Search And Destroy,646,51.55%,76.84,Aeldari
Hidden Supplies,Sweeping Engagement,10,10.00%,75.00,Aeldari
Hidden Supplies,Tipping Point,24,45.83%,58.00,Aeldari
Linchpin,Crucible Of Battle,168,53.57%,77.93,Aeldari
Linchpin,Dawn Of War,334,49.10%,69.95,Aeldari
Linchpin,Hammer And Anvil,47,57.45%,71.33,Aeldari
Linchpin,Search And Destroy,667,49.03%,74.73,Aeldari
Linchpin,Sweeping Engagement,29,37.93%,64.09,Aeldari
Linchpin,Tipping Point,618,51.13%,73.26,Aeldari
Purge The Foe,Crucible Of Battle,807,49.69%,81.98,Aeldari
Purge The Foe,Dawn Of War,192,50.52%,77.32,Aeldari
Purge The Foe,Hammer And Anvil,383,49.09%,82.17,Aeldari
Purge The Foe,Search And Destroy,47,51.06%,76.83,Aeldari
Purge The Foe,Sweeping Engagement,26,46.15%,80.08,Aeldari
Purge The Foe,Tipping Point,42,45.24%,72.84,Aeldari
Scorched Earth,Crucible Of Battle,477,50.94%,79.71,Aeldari
Scorched Earth,Dawn Of War,25,48.00%,67.75,Aeldari
Scorched Earth,Hammer And Anvil,30,40.00%,74.92,Aeldari
Scorched Earth,Search And Destroy,405,47.90%,79.39,Aeldari
