Opponent,Games,Wins,Losses,Draws,Win %,col6,Faction
,World Eaters,484,229,247,8,48.14%,Thousand Sons
,Adepta Sororitas,326,177,140,9,55.67%,Tyranids
,Adeptus Custodes,684,296,376,12,44.15%,Tyranids
,Adeptus Mechanicus,233,113,114,6,49.79%,Tyranids
,Aeldari,603,278,320,5,46.52%,Tyranids
,Astra Militarum,672,343,313,16,52.23%,Tyranids
,Black Templars,527,250,267,10,48.39%,Tyranids
,Blood Angels,719,368,337,14,52.16%,Tyranids
,Chaos Daemons,387,169,213,5,44.32%,Tyranids
,Chaos Knights,507,194,308,5,38.76%,Tyranids
,Chaos Space Marines,524,301,220,3,57.73%,Tyranids
,Dark Angels,715,337,366,12,47.97%,Tyranids
,Death Guard,998,454,525,19,46.44%,Tyranids
,Deathwatch,107,65,41,1,61.21%,Tyranids
,Drukhari,253,133,114,6,53.75%,Tyranids
,Emperor's Children,462,252,207,3,54.87%,Tyranids
,Genestealer Cults,190,88,97,5,47.63%,Tyranids
,Grey Knights,378,192,180,6,51.59%,Tyranids
,Imperial Agents,41,19,17,5,52.44%,Tyranids
,Imperial Knights,620,212,399,9,34.92%,Tyranids
,Leagues Of Votann,403,205,194,4,51.36%,Tyranids
,Necrons,949,488,449,12,52.05%,Tyranids
,Orks,537,295,235,7,55.59%,Tyranids
,Space Marines,1147,627,497,23,55.67%,Tyranids
,Space Wolves,548,269,269,10,50.00%,Tyranids
,T'au,668,338,318,12,51.50%,Tyranids
,Thousand Sons,573,276,288,9,48.95%,Tyranids
,Tyranids,434,216,216,2,50.00%,Tyranids
,World Eaters,770,384,377,9,50.45%,Tyranids
,Adepta Sororitas,317,145,169,3,46.21%,World Eaters
,Adeptus Custodes,730,357,359,14,49.86%,World Eaters
,Adeptus Mechanicus,246,122,122,2,50.00%,World Eaters
,Aeldari,540,275,261,4,51.30%,World Eaters
,Astra Militarum,588,317,258,13,55.02%,World Eaters
,Black Templars,478,259,213,6,54.81%,World Eaters
,Blood Angels,620,333,276,11,54.60%,World Eaters
,Chaos Daemons,303,127,166,10,43.56%,World Eaters
,Chaos Knights,557,252,295,10,46.14%,World Eaters
,Chaos Space Marines,545,335,201,9,62.29%,World Eaters
,Dark Angels,657,345,302,10,53.27%,World Eaters
,Death Guard,1013,451,548,14,45.21%,World Eaters
,Deathwatch,102,54,47,1,53.43%,World Eaters
,Drukhari,250,119,127,4,48.40%,World Eaters
,Emperor's Children,604,312,287,5,52.07%,World Eaters
,Genestealer Cults,200,88,108,4,45.00%,World Eaters
,Grey Knights,424,237,176,11,57.19%,World Eaters
,Imperial Agents,40,26,14,0,65.00%,World Eaters
,Imperial Knights,595,287,306,2,48.40%,World Eaters
,Leagues Of Votann,374,188,181,5,50.94%,World Eaters
,Necrons,754,388,358,8,51.99%,World Eaters
,Orks,552,313,232,7,57.34%,World Eaters
,Space Marines,964,529,417,18,55.81%,World Eaters
,Space Wolves,511,259,244,8,51.47%,World Eaters
,T'au,513,326,180,7,64.23%,World Eaters
,Thousand Sons,484,247,229,8,51.86%,World Eaters
,Tyranids,770,377,384,9,49.55%,World Eaters
,World Eaters,368,183,183,2,50.00%,World Eaters
